iter	Passed	Remaining
437	1355	1738
438	1358	1735
439	1360	1731
440	1363	1728
441	1366	1724
442	1368	1721
443	1371	1717
444	1374	1713
445	1376	1710
446	1379	1706
447	1382	1703
448	1385	1699
449	1387	1696
450	1390	1692
451	1393	1689
452	1395	1685
453	1398	1682
454	1401	1678
455	1403	1674
456	1406	1671
457	1409	1667
458	1411	1664
459	1414	1660
460	1417	1657
461	1420	1653
462	1422	1650
463	1425	1646
464	1428	1643
465	1431	1639
466	1433	1636
467	1436	1633
468	1439	1629
469	1442	1626
470	1445	1623
471	1448	1619
472	1450	1616
473	1453	1612
474	1455	1608
475	1458	1605
476	1461	1602
477	1463	1598
478	1466	1595
479	1469	1591
480	1471	1588
481	1474	1584
482	1477	1581
483	1479	1577
484	1482	1574
485	1485	1571
486	1488	1567
487	1491	1564
488	1494	1561
489	1496	1557
490	1499	1554
491	1502	1551
492	1505	1548
493	1508	1544
494	1511	1541
495	1513	1538
496	1516	1534
497	1519	1531
498	1521	1527
499	1524	1524
500	1527	1521
501	1530	1517
502	1532	1514
503	1535	1511
504	1538	1507
505	1540	1504
506	1543	1500
507	1545	1497
508	1548	1493
509	1551	1490
510	1554	1487
511	1556	1483
512	1559	1480
513	1562	1477
514	1564	1473
515	1567	1470
516	1570	1467
517	1572	1463
518	1575	1460
519	1578	1456
520	1581	1453
521	1584	1450
522	1586	1447
523	1589	1444
524	1592	1441
525	1595	1438
526	1598	1434
527	1601	1431
528	1604	1428
529	1606	1424
530	1609	1421
531	1612	1418
532	1615	1415
533	1618	1412
534	1620	1408
535	1623	1405
536	1626	1402
537	1629	1399
538	1632	1395
539	1634	1392
540	1637	1389
541	1640	1386
542	1643	1383
543	1646	1379
544	1649	1376
545	1651	1373
546	1654	1370
547	1657	1367
548	1660	1363
549	1662	1360
550	1665	1357
551	1668	1354
552	1671	1351
553	1674	1347
554	1677	1344
555	1680	1341
556	1682	1338
557	1685	1335
558	1688	1332
559	1691	1328
560	1694	1325
561	1696	1322
562	1699	1319
563	1702	1316
564	1705	1312
565	1708	1309
566	1710	1306
567	1713	1303
568	1716	1299
569	1718	1296
570	1721	1293
571	1724	1290
572	1726	1286
573	1729	1283
574	1731	1280
575	1734	1276
576	1737	1273
577	1739	1270
578	1742	1266
579	1745	1263
580	1747	1260
581	1750	1257
582	1753	1254
583	1756	1250
584	1758	1247
585	1761	1244
586	1764	1241
587	1766	1237
588	1769	1234
589	1772	1231
590	1775	1228
591	1777	1225
592	1780	1222
593	1783	1218
594	1786	1215
595	1789	1212
596	1791	1209
597	1794	1206
598	1797	1203
599	1799	1199
600	1802	1196
601	1805	1193
602	1807	1190
