iter	MultiClass
0	1.05390821
1	1.014156918
2	0.9832499274
3	0.9530300473
4	0.9281118048
5	0.9070346341
6	0.8883952501
7	0.8729362342
8	0.8590714462
9	0.8465679489
10	0.835068175
11	0.8237847452
12	0.8146572187
13	0.8054732103
14	0.7974058163
15	0.7915764062
16	0.7850860056
17	0.7783467619
18	0.7728817789
19	0.7671940977
20	0.762244718
21	0.75711446
22	0.7534150964
23	0.7494113886
24	0.7463079071
25	0.7433602928
26	0.740085121
27	0.7374491265
28	0.7348457544
29	0.7325572239
30	0.7296375675
31	0.7269651964
32	0.7248793993
33	0.7218556015
34	0.7202957318
35	0.7188691103
36	0.7172360445
37	0.7153964468
38	0.7137416374
39	0.7123220894
40	0.7112594287
41	0.7100879644
42	0.7084943585
43	0.7072522287
44	0.7060749091
45	0.7045251024
46	0.7032448732
47	0.7021281824
48	0.7007493164
49	0.6989987828
50	0.6972008816
51	0.6959018155
52	0.6956596225
53	0.6947322888
54	0.6926991847
55	0.6907655896
56	0.6896354447
57	0.6883335808
58	0.6868268939
59	0.6858027979
60	0.6847413689
61	0.6836818395
62	0.6824654185
63	0.6810450592
64	0.6793311314
65	0.6784381615
66	0.6775948352
67	0.676623701
68	0.6754753121
69	0.6743150636
70	0.6737425487
71	0.6724964248
72	0.6711562943
73	0.6695278668
74	0.6683816578
75	0.6672791261
76	0.6660708875
77	0.6649608691
78	0.6642400488
79	0.6629247767
80	0.6616205956
81	0.6608586923
82	0.6599224846
83	0.6592078406
84	0.6579027828
85	0.6571841421
86	0.6561807647
87	0.6553368864
88	0.6545636082
89	0.6530639021
90	0.6522211509
91	0.651222747
92	0.6503864744
93	0.6497359278
94	0.6481834187
95	0.6471883651
96	0.6466606787
97	0.6457664587
98	0.6447925711
99	0.6437934207
100	0.6427006965
101	0.6419364293
102	0.6407604072
103	0.63976685
104	0.6386924988
105	0.6375856137
106	0.6367664615
107	0.6360235959
108	0.6354942428
109	0.6345483873
110	0.6332337955
111	0.6319700806
112	0.6311063233
113	0.6298903184
114	0.6286608808
115	0.6282017132
116	0.627061271
117	0.6260377232
118	0.6241639594
119	0.6230732972
120	0.6214168652
121	0.6207683186
122	0.619848009
123	0.6190878491
124	0.6182718642
125	0.6165637407
126	0.6158066036
127	0.6147950533
128	0.6142730463
129	0.613230847
130	0.6124153683
131	0.6118173315
132	0.6105918689
133	0.6097666986
134	0.6085056582
135	0.6073547869
136	0.6062170994
137	0.6056468874
138	0.6049937422
139	0.6042542239
140	0.6035681574
141	0.6028898137
142	0.601887228
143	0.6008591502
144	0.5996577172
145	0.5987273672
146	0.5978355306
147	0.596937113
148	0.5963684282
149	0.5952467404
150	0.5943453941
151	0.5930926921
152	0.5926172532
153	0.5915582403
154	0.5908828344
155	0.5900165384
156	0.5893865225
157	0.5886397032
158	0.5881492317
159	0.5869036966
160	0.5861329979
161	0.58562838
162	0.5845132454
163	0.5831420661
164	0.5824819068
165	0.5817117109
166	0.5811693248
167	0.5805892534
168	0.5798640478
169	0.5786015466
170	0.5777765907
171	0.5767585907
172	0.5761628332
173	0.5757290202
174	0.5743858687
175	0.5736828926
176	0.5726579868
177	0.5715477914
